,Date_reported,New_cases,SmoothedCases,cutDatesPV
5116,2020-05-03,343,353.06499216595955,0
5117,2020-05-04,330,336.52160952435736,0
5118,2020-05-05,266,320.1774554571383,0
5119,2020-05-06,211,304.1154942052716,0
5120,2020-05-07,265,288.40652773225315,0
5121,2020-05-08,137,273.10951169820544,1
5122,2020-05-09,156,258.2721151834364,0
5123,2020-05-10,219,243.9314759334202,0
5124,2020-05-11,236,230.11510148358312,0
5125,2020-05-12,139,216.84186726750076,0
5126,2020-05-13,107,204.12306549271244,0
5127,2020-05-14,159,191.96346289207753,0
5128,2020-05-15,426,180.36233107840204,0
5129,2020-05-16,129,169.3144197611115,0
5130,2020-05-17,92,158.8108501226439,0
5131,2020-05-18,64,148.83991279809067,0
5132,2020-05-19,88,139.38776177761343,0
5133,2020-05-20,51,130.43900182511481,0
5134,2020-05-21,64,121.97717240895669,0
5135,2020-05-22,76,113.98513547784489,0
5136,2020-05-23,115,106.44537757837765,0
5137,2020-05-24,76,99.34023877735804,0
5138,2020-05-25,57,92.6520816802784,0
5139,2020-05-26,59,86.36341365628338,0
5140,2020-05-27,37,80.45697437274902,0
5141,2020-05-28,68,74.91579912784843,0
5142,2020-05-29,38,69.72326647986611,0
5143,2020-05-30,35,64.86313653428185,0
5144,2020-05-31,53,60.31958416647832,0
5145,2020-06-01,61,56.07722959398956,0
5146,2020-06-02,72,52.121167184983676,0
5147,2020-06-03,4,48.436992265742624,0
5148,2020-06-04,45,45.01082498643086,0
5149,2020-06-05,31,41.8293299952213,0
5150,2020-06-06,21,38.879730695748265,0
5151,2020-06-07,20,36.149817139384595,0
5152,2020-06-08,18,33.627947039267355,0
5153,2020-06-09,6,31.30303989580228,0
5154,2020-06-10,8,29.164564712802846,0
5155,2020-06-11,16,27.20252219641415,0
5156,2020-06-12,7,25.40742262411449,0
5157,2020-06-13,12,23.770260729485983,0
5158,2020-06-14,45,22.28248897196859,0
5159,2020-06-15,8,20.935990468238067,0
5160,2020-06-16,18,19.723052683684806,0
5161,2020-06-17,13,18.636342755237443,0
5162,2020-06-18,7,17.668885077481555,0
5163,2020-06-19,14,16.814041565427207,0
5164,2020-06-20,13,16.06549483435032,0
5165,2020-06-21,6,15.41723442491093,0
5166,2020-06-22,5,14.863546154617467,0
5167,2020-06-23,4,14.399004688921826,0
