"Country","Kernel"
"Afghanistan",29.70834777730665
"Albania",30.981753292727525
"Algeria",27.422255434421995
"AmericanSamoa",19.561083919546576
"Andorra",25.29183563046655
"Angola",18.847907695558984
"Anguilla",28.514900122148422
"AntiguaBarbuda",32.23293529134655
"Argentina",24.022905084597017
"Armenia",28.684087683193688
"Aruba",18.850218303398353
"Australia",33.62489766042989
"Austria",31.097882620482505
"Azerbaijan",29.74820801021041
"Bahamas",20.624252903262505
"Bahrain",24.101413804860663
"Bangladesh",34.059778420832274
"Barbados",41.216123715857286
"Belarus",26.010875895715436
"Belgium",24.477481888620872
"Belize",26.397100470967715
"Benin",18.163634987433504
"Bermuda",25.7395007971556
"Bhutan",21.891886517057955
"Bolivia",24.35468724762176
"BosniaHerzegovina",33.33588030611342
"Botswana",17.234512365716466
"Brazil",30.88558852569089
"BritishVirginIslands",22.57630089491949
"Brunei",23.660404929271177
"Bulgaria",31.265313834252296
"BurkinaFaso",22.485991606930522
"Burundi",22.35845299334324
"Cambodia",41.632039673878694
"Cameroon",24.659461095477763
"Canada",23.004555755155888
"CapeVerde",17.92264594648857
"CaymanIslands",31.727362715648148
"CentralAfricanRepublic",27.318455409170618
"Chad",25.7667186700746
"Chile",28.63879033827593
"China",15.500698216448505
"Colombia",42.951503679010145
"Comoros",20.783044828790658
"RepublicCongo",34.163197984748145
"CookIslands",23.82550571802538
"CostaRica",34.52614968632032
"IvoryCoast",19.70643897186921
"Croatia",33.065671201150785
"Cuba",38.20301210641948
"Cyprus",32.69012150229216
"CzechRepublic",26.921540176199287
"DemocraticRepublicCongo",23.453867938538593
"Denmark",28.43423942001407
"Djibouti",29.453853382462103
"Dominica",34.16404227293792
"DominicanRepublic",22.960366448464274
"Ecuador",24.094375874409405
"Egypt",41.48672558569983
"ElSalvador",27.60769562616354
"EquatorialGuinea",27.240103618691634
"Eritrea",31.21936274725268
"Estonia",26.50111744980238
"Swaziland",23.68868615331523
"Ethiopia",26.60992483968586
"FalklandIslands",16.234037510635567
"FaroeIslands",26.924568902204104
"Fiji",27.40275128102651
"Finland",39.38358940368327
"France",31.085678199165734
"FrenchGuiana",17.4238507657323
"FrenchPolynesia",24.787388022969036
"Gabon",27.382709469909965
"Gambia",28.145795313256823
"Georgia",23.77599295876077
"Germany",40.99905000289557
"Ghana",35.51234665481067
"Gibraltar",35.20342052000555
"Greece",30.754036104285525
"Greenland",17.926621119645183
"Grenada",28.06782768624186
"Guadeloupe",24.079649479866916
"Guam",20.130177707487114
"Guatemala",36.15668196106036
"Guinea",30.17831453840597
"GuineaBissau",36.389876171098216
"Guyana",21.219704366009996
"Haiti",34.95882166018429
"Honduras",47.74809879191434
"Hungary",31.869490761685825
"Iceland",28.359879467125772
"India",31.09633534988968
"Indonesia",30.834112124279844
"Iran",39.23908636303964
"Iraq",39.04826731495457
"Ireland",22.972821042820275
"Israel",23.36533681128106
"Italy",30.289109136056503
"Jamaica",27.545803203873714
"Japan",39.238813668597174
"Jordan",25.186404732096474
"Kazakhstan",26.36714281389122
"Kenya",27.78391030117496
"Kiribati",18.738438084681846
"Kuwait",27.003279146874924
"Kyrgyzstan",27.634340127958428
"Laos",30.2889322750095
"Latvia",30.134776833317673
"Lebanon",32.186067957458505
"Lesotho",30.33987956352658
"Liberia",18.48280424954926
"Libya",29.71779733027834
"Liechtenstein",33.21379911761956
"Lithuania",26.173264252159218
"Luxembourg",29.963006451982938
"Madagascar",29.87526204706301
"Malawi",30.911512607815062
"Malaysia",38.504698461580986
"Maldives",23.339600406232865
"Mali",19.525751501633394
"Malta",24.329803194846985
"MarshallIslands",14.508511006319894
"Martinique",31.99066758266217
"Mauritania",22.172742610220357
"Mauritius",28.41527926364369
"Mayotte",15.059859961384095
"Mexico",26.43327208916676
"Micronesia",21.934676859070255
"Moldova",26.208498375835866
"Monaco",29.1337806990346
"Mongolia",37.63462991027037
"Montenegro",22.827865219143103
"Montserrat",18.85355278350894
"Morocco",34.1706060253674
"Mozambique",20.777729045931835
"Myanmar",30.73759954926869
"Namibia",27.718573714276516
"Nauru",16.460577243321158
"Nepal",32.20717440197437
"Netherlands",28.3625456997668
"NewCaledonia",25.802929430716954
"NewZealand",32.02987273962684
"Nicaragua",36.91911509773463
"Niger",32.21496171178862
"Nigeria",33.173804909249625
"Niue",22.540238329793453
"Macedonia",38.90660456718351
"NorthernMarianaIslands",25.55137607753231
"Norway",28.619948365789362
"Oman",41.69510140369964
"Pakistan",41.188433458626136
"Palau",21.14578826892732
"Panama",23.416266408033554
"PapuaNewGuinea",29.623803007049954
"Paraguay",32.313930192344756
"Peru",22.47016618053462
"Philippines",27.230032486512467
"PitcairnIslands",12.769995696912027
"Poland",31.518583561688185
"Portugal",26.839455444210458
"PuertoRico",27.261646786849287
"Qatar",24.390759689225355
"Reunion",24.281319759505898
"Russia",24.977046542256886
"Rwanda",28.705744772730064
"SaintHelena",13.586379560800319
"SaintKittsNevis",19.32488188279356
"SaintLucia",24.877420910619545
"SaintPierreMiquelon",18.654213570121815
"SaintVincentGrenadines",26.350320145231233
"SanMarino",30.26313275347129
"SaoTomePrincipe",20.224480585268523
"SaudiArabia",33.73326889598602
"Senegal",27.598546017152138
"Serbia",31.136292541172235
"Seychelles",23.59854561384337
"SierraLeone",26.248658816770053
"Singapore",32.07183847369541
"Slovakia",30.040989026518865
"Slovenia",23.133350002126303
"SolomonIslands",20.62541531997927
"Somalia",41.788032907013395
"SouthAfrica",36.4529110866121
"SouthKorea",26.535279713496834
"Spain",29.97588258856087
"SriLanka",28.749250404357973
"Sudan",27.714281261004313
"Suriname",25.682005703707528
"Sweden",21.831373766163058
"Switzerland",31.759601031773744
"Syria",33.59260272214023
"Tajikistan",24.829881219165234
"Tanzania",12.971263437361817
"Thailand",43.900053620458365
"Togo",24.659198191979954
"Tokelau",14.876765827907743
"Tonga",23.724248936187124
"TrinidadTobago",40.816004570771184
"Tunisia",29.31466909010698
"Turkey",34.639836366427076
"TurksCaicosIslands",16.454782430067016
"Tuvalu",18.15430859860865
"Uganda",18.936741920925307
"Ukraine",32.75916044213165
"UnitedArabEmirates",44.70484726191605
"UnitedKingdom",28.19231520930705
"UnitedStatesVirginIslands",22.78480537300414
"Uruguay",27.709321932799657
"Uzbekistan",33.92492759232518
"Vanuatu",26.947826459309216
"VaticanCity",13.533409924912727
"Venezuela",46.82006425532313
"Vietnam",21.737330721480948
"WallisFutuna",12.882122817675315
"Yemen",30.835117594178456
"Zambia",27.44595702936985
"Zimbabwe",24.405287782488283
