"Country","K1","K2","K3","K4","K5"
"Afghanistan",10.680674516234225,21.154049249604913,17.780188582290865,15.793396888785319,14.651838295482172
"Albania",31.953177776662493,44.493184527364065,55.545582763161434,51.65736106498689,48.42019178792773
"Algeria",28.53934078913391,30.873654973485888,34.54995543474129,32.000499940469886,29.98396300332855
"AmericanSamoa",0.,0.028228331275380228,13.130530025322019,11.441381636285184,10.411200624974782
"Andorra",6.333448491944129,8.199284474565907,15.846614672288064,14.281848014124968,13.225486954079177
"Angola",9.528835754087696,15.790289052472332,25.56699603605451,22.885463004091925,21.117066867372998
"Anguilla",0.2866580059595514,15.81862399091458,19.317097164894495,17.445758759972126,16.151900698240247
"AntiguaBarbuda",0.7416211114605805,14.27951991621532,18.6775011373811,16.66266198491102,15.337217366354384
"Argentina",13.396305969430365,21.480126091896018,43.81500166320721,39.427809129349015,36.46598213275893
"Armenia",18.01564155646723,16.567748034842538,18.145032431706746,16.69961487281541,15.628040075739733
"Aruba",7.030567285227257,7.728381817255711,25.698774672297965,22.77618691316272,20.920163920071253
"Australia",0.5230225152675552,5.399332305994781,70.09164856041588,62.15706484930378,57.61566509599693
"Austria",3.9352031780357253,5.649655369440837,18.937561258857382,16.973838039975405,15.805381355826142
"Azerbaijan",16.611138175355475,16.145888040164614,17.90846007565387,16.26693143790905,15.121519781115882
"Bahamas",15.266270044839978,17.131342719336555,26.626652437234515,24.217352391845573,22.41356905957472
"Bahrain",6.203797415090604,14.440942582846164,30.63911864633395,27.768985828389674,25.751792241000278
"Bangladesh",8.66021324691392,20.988297544738142,21.2540657182156,19.36490679170456,18.007146912388343
"Barbados",0.16674203138615115,13.419085586004496,23.952790148635202,21.710155874185762,20.170788371576243
"Belarus",14.471796479526747,17.222221293190252,29.2165890149714,27.349847426078572,25.72758221017331
"Belgium",13.558269698987571,15.887563894859452,28.57875969126806,25.692245612115755,23.832563351758886
"Belize",21.35920583533258,24.88434366297955,47.464699234294756,42.45330956800888,39.25159416889182
"Bermuda",3.5065623501341894,20.347109282900735,31.954430374958527,28.74189839221279,26.622513433526475
"Bhutan",0.3249436723151074,0.7579503657527993,26.872137634101605,23.46359002882502,21.368582110673014
"Bolivia",4.5552728457466305,6.292284839759079,14.293122352947089,12.943670453576795,12.07764100774353
"BosniaHerzegovina",36.041425724720156,35.02017654393795,39.283869272510984,36.51712355015597,34.29519712425934
