"Country","K1","K2","K3","K4","K5"
"Afghanistan",10.680674586001974,21.154048640772398,17.780188085153107,15.793396455833594,14.824497847427997
"Albania",10.651059398545192,14.83106161959949,18.51519441694994,17.219120506018857,16.34781472276429
"Algeria",14.269670453168711,15.436827277935222,17.274977558153935,16.000249812202917,15.161469723693017
"AmericanSamoa",0.,0.028228334351880262,13.130530253694547,11.441381836335438,10.574144009489762
"Andorra",6.3334485775859966,8.199284278307802,15.846614454029492,14.28184781058338,13.397831552838587
"Angola",4.764417815664648,7.895144119727322,12.783497714749043,11.442731216910115,10.699279549384517
"Anguilla",0.28665801824553044,15.818625115717527,19.31709812388755,17.44575963006903,16.36289301877922
"AntiguaBarbuda",0.7416211166650122,14.279519525573726,18.677500795407877,16.662661680495148,15.550801260556254
"Argentina",4.465435453110265,7.160042204771773,14.605000731437997,13.1426032061552,12.314627257262504
"Armenia",18.01564100971394,16.567747278953274,18.14503166350276,16.699614156089044,15.812769205104246
"Aruba",3.515283574875254,3.8641907503797674,12.849387520944791,11.388093606045025,10.60904559074631
"Australia",0.17434084947564013,1.799777438181303,23.3638837216789,20.719022394180076,19.442482244669996
"Austria",3.93520307885369,5.649655299629339,18.937560808607984,16.973837630112893,15.998715567751981
"Azerbaijan",16.611138186057552,16.145888072325768,17.908459929416665,16.266931300010814,15.309909461654977
"Bahamas",7.6331352906369245,8.56567161607292,13.313326414805973,12.108676392394106,11.342497900046519
"Bahrain",3.101898794505192,7.220471651073479,15.319559837956575,13.884493369201815,13.040983167343784
"Bangladesh",8.660213511318746,20.988298001307808,21.254066405427693,19.36490741160637,18.228952135899952
"Barbados",0.16674203275574337,13.419085563933365,23.95279042214048,21.710156138178792,20.417171610459473
"Belarus",7.2358983220886754,8.611110720073409,14.608294637165342,13.674923843944025,13.0021379748788
"Belgium",6.779134679540914,7.943781704329009,14.289379582590911,12.846122561741947,12.070768262373711
"Belize",7.119735641453208,8.294781452597132,15.824157943557232,14.155147110669535,13.261246459605275
"Benin",1.9060108160224651,14.999386388593683,12.501692954954006,10.998654369009678,10.205735657945072
"Bermuda",1.7532811388884215,10.17355479076009,15.977215512376327,14.370949484431627,13.484239867954212
"Bhutan",0.16247184076759566,0.37897519300792515,13.436068980667326,11.731795156980018,10.85016713480995
"Bolivia",4.555273068390979,6.292285086956253,14.293122772072596,12.943670847286656,12.221166294879543
"BosniaHerzegovina",18.020713344816976,17.510088446993656,19.641934630274722,18.25856178882595,17.338271143651554
"Botswana",1.2857686262790853,9.791230177323081,12.333546413987467,11.065076965638337,10.358535228821827
"Brazil",9.252506323515298,12.423535562155095,16.548979818723357,16.07863485555081,15.690031211167355
"BritishVirginIslands",0.45406621164258987,11.513731852769554,14.540788457649928,12.739142034119096,11.793875104282932
"Brunei",0.032482470260422995,1.2999671118439047,14.80354360589553,13.051944083040937,12.186460163958436
