"Country","K1","K2","K3","K4","K5"
"Afghanistan",32.042023758005925,63.46214592231719,53.34056425545932,47.38018936750078,44.47349354228399
"Albania",31.953178195635573,44.49318485879847,55.545583250849816,51.657361518056575,49.04344416829287
"Algeria",42.80901135950613,46.31048183380567,51.824932674461806,48.00074943660875,45.48440917107905
"AmericanSamoa",0.,0.08468500305564078,39.39159076108364,34.324145509006314,31.722432028469285
"Andorra",19.00034573275799,24.59785283492341,47.539843362088476,42.845543431750144,40.19349465851576
"Angola",14.293253446993944,23.685432359181966,38.350493144247125,34.32819365073034,32.097838648153555
"Anguilla",0.8599740547365913,47.455875347152585,57.951294371662655,52.33727889020709,49.08867905633767
"AntiguaBarbuda",2.2248633499950365,42.83855857672118,56.032502386223626,49.987985041485445,46.65240378166876
"Argentina",13.396306359330795,21.480126614315317,43.81500219431399,39.4278096184656,36.94388177178752
"Armenia",54.046923029141816,49.70324183685982,54.435094990508276,50.09884246826714,47.43830761531274
"Aruba",10.545850724625762,11.592572251139302,38.54816256283438,34.164280818135076,31.82713677223893
"Australia",0.5230225484269204,5.3993323145439085,70.0916511650367,62.15706718254023,58.32744673400999
"Austria",11.80560923656107,16.94896589888802,56.81268242582395,50.921512890338676,47.996146703255945
"Azerbaijan",49.833414558172656,48.4376642169773,53.725379788249995,48.800793900032446,45.92972838496493
"Bahamas",22.899405871910773,25.697014848218764,39.93997924441792,36.32602917718232,34.02749370013956
"Bahrain",9.305696383515576,21.661414953220437,45.958679513869725,41.653480107605446,39.122949502031354
"Bangladesh",25.98064053395624,62.96489400392342,63.76219921628308,58.094722234819116,54.68685640769986
"Barbados",0.5002260982672301,40.257256691800094,71.85837126642144,65.13046841453638,61.251514831378415
"Belarus",21.707694966266025,25.833332160220227,43.82488391149602,41.02477153183207,39.0064139246364
"Belgium",20.337404038622743,23.831345112987027,42.86813874777273,38.538367685225836,36.212304787121134
"Belize",21.359206924359626,24.884344357791395,47.472473830671696,42.46544133200861,39.783739378815824
"Benin",5.718032448067396,44.99815916578105,37.505078864862014,32.995963107029034,30.617206973835216
"Bermuda",5.259843416665264,30.52066437228027,47.931646537128984,43.11284845329488,40.45271960386263
"Bhutan",0.48741552230278695,1.1369255790237753,40.30820694200197,35.19538547094005,32.55050140442985
"Bolivia",13.665819205172937,18.87685526086876,42.87936831621779,38.83101254185997,36.66349888463863
"BosniaHerzegovina",54.06214003445093,52.53026534098097,58.92580389082417,54.77568536647785,52.01481343095466
"Botswana",3.8573058788372556,29.373690531969245,37.0006392419624,33.19523089691501,31.07560568646548
"Brazil",27.757518970545895,37.270606686465285,49.646939456170074,48.23590456665243,47.07009363350207
"BritishVirginIslands",1.3621986349277697,34.541195558308665,43.62236537294979,38.21742610235729,35.3816253128488
"Brunei",0.09744741078126898,3.8999013355317143,44.410630817686595,39.15583224912281,36.55938049187531
"Bulgaria",34.16121064007885,41.2852987325907,54.62760684286994,49.86339277382645,47.16132728439686
"BurkinaFaso",42.68113513936908,46.28920555771117,48.01232122310511,43.052666640135115,40.27781798482293
"Burundi",0.9419035230063291,30.909700210477677,40.71613983069949,36.206196586309915,33.83141340003117
"Cambodia",0.50160963348369,85.70676618451529,74.37969689762423,66.59649100479444,62.24776697605877
"Cameroon",22.720119794700203,56.9918846351058,50.90896104090102,46.3858060551605,43.716761466473265
"Canada",14.408557553436165,19.04232003615403,42.60007605069852,38.5138330078035,36.46634469107228
"CapeVerde",10.304629224992338,19.73696925740352,36.32453004514649,32.41301584331434,30.3215427076805
"CaymanIslands",1.1414511464057546,42.8376724112903,61.21145895508848,54.79609257281464,51.21194001797588
"CentralAfricanRepublic",64.74444407020658,65.8479085687214,57.94030466512922,51.64701142593413,48.207170002066775
"Chad",32.75665606215859,56.89679027780684,56.97763013122697,51.45352628765954,48.29670591905088
"Chile",14.844462841875938,18.562013477720875,50.39146225693365,46.040556719651434,43.712780891366386
"China",0.049411134323347844,0.03540968229615497,24.812081414904377,29.75309016315263,27.44156298065269
"Colombia",41.515174135135396,72.7662144276743,72.84588519416907,67.81479305747895,64.32539312414545
"Comoros",3.771712943733695,30.88662189905254,39.31882681209305,34.583250932357856,32.10907891065872
"RepublicCongo",40.38594306696003,50.67738442983348,56.93217156692935,52.39799208167878,49.55642216318927
"CookIslands",0.,0.,49.41998864750536,43.21821341159195,39.964512304054296
"CostaRica",25.61319117040501,37.927109790140015,56.41700306670231,53.42236010692503,51.701829878455584
"IvoryCoast",26.46607994331935,31.412478318140668,42.38554784124408,38.48821266196695,36.201770780410094
"Croatia",36.96738331542328,45.233603747558575,57.97862320459603,52.76097527655532,49.67069157585838
"Cuba",0.9481584303173167,82.69864926840161,70.34141608741487,62.56434460518123,58.325275140891875
"Cyprus",6.614212829617179,16.021685035742326,57.998331267885334,52.097521099051676,48.935899518415624
"CzechRepublic",23.68748077118704,33.950488441161696,47.30368807755397,42.69222343022075,40.192290276493516
"DemocraticRepublicCongo",16.872465655001875,48.05948850389784,46.39428953295724,41.76963242665529,39.239515992144646
"Denmark",4.824291899378854,10.671357338718058,53.54198158739739,47.103641213851034,43.733038332472475
"Djibouti",53.36366269419351,59.78939273075319,52.833459899575416,46.93232940662243,43.72261826732799
"Dominica",1.0881655915909842,49.36889044056467,65.92604532587767,58.95419387925313,55.188267331537205
"DominicanRepublic",18.58240294635626,19.281421215851275,39.01721365056869,36.10101794391537,34.21128910596591
"Ecuador",14.713938021794508,17.90245958058868,42.80238510365624,39.53229403602868,37.47859169484916
"Egypt",59.24202196492932,56.347805185450554,69.2495961810273,65.9927597492321,63.161307621122305
"ElSalvador",27.57318697720043,26.31758285349475,51.364750475461676,48.2021137317586,45.86546186218848
"EquatorialGuinea",55.55227766934888,61.01252212302055,60.90736880726271,55.2949355618349,51.98920874328543
"Eritrea",18.396360855855967,61.643626260474896,62.543135535325504,56.853945559041875,53.462783116312735
