Country,waveNum,max,sum,spanDays,ratioSumSpan
Belgium,0,0.0107958570376853,0.5275421986743966,170,0.0031031894039670388
Belgium,1,0.0997437740017473,5.151651830546993,199,0.025887697640939664
Belgium,2,0.0353680423641388,3.623331005375952,169,0.02143982843417723
Belgium,3,0.1321262301251506,7.411446841802227,173,0.042840733189608245
Belgium,4,0.3166063849477291,14.64404432064938,87,0.16832234851321126
Belgium,5,0.0855081756952195,4.380803145159021,81,0.05408398944640767
Belgium,6,0.0523065363208577,2.93465948420676,99,0.029643025092997575
Belgium,7,0.0153611362086705,0.3164615476037748,21,0.015069597504941658
Bosnia and Herzegovina,0,0.001168898719188,0.05344851936509547,123,0.00043454080784630463
Bosnia and Herzegovina,1,0.0365758775112032,3.5583649035537803,266,0.013377311667495414
Bosnia and Herzegovina,2,0.0370348880918022,2.606339476007434,157,0.016600888382212957
Bosnia and Herzegovina,3,0.0209913636919342,1.8918858847487028,141,0.013417630388288672
Bosnia and Herzegovina,4,0.0494252177306197,3.4178161895355696,184,0.018575087986606356
Bosnia and Herzegovina,5,0.0097871434179414,0.6508806350502347,128,0.005085004961329959
Brazil,0,0.0184182105765236,2.4266352305330026,290,0.008367707691493113
Brazil,1,0.0306226130457575,7.74809874606912,379,0.020443532311528022
Brazil,2,0.0473232330127342,4.078231419545412,186,0.021925975373900067
Brazil,3,0.0199812727130342,1.9194182969211449,144,0.013329293728619062
Colombia,0,0.0175072431042245,1.6956273460706244,278,0.006099378942700088
Colombia,1,0.0239328537281752,2.698364279169517,147,0.01835621958618719
Colombia,2,0.0459010298544057,5.30303306908699,227,0.023361379158973523
Colombia,3,0.0296227930444946,2.153243373678118,197,0.010930169409533595
Colombia,4,0.0050502207183134,0.4175314745219735,150,0.0027835431634798233
Croatia,0,0.0014393915660536,0.054702833625158535,148,0.00036961374071053064
Croatia,1,0.0061414394607436,0.2764614663521364,109,0.0025363437280012517
Croatia,2,0.0806249905231405,5.465401455991982,152,0.03595658852626304
Croatia,3,0.0501200195864823,3.0218415017864606,137,0.02205723723931723
Croatia,4,0.1182226483680403,7.35488721982669,167,0.04404124083728557
Croatia,5,0.1957850574410602,11.873279524106836,171,0.06943438318191132
Croatia,6,0.03158216726633,2.276550993240496,115,0.019796095593395617
Ireland,0,0.0109901316974318,0.5151299542712949,181,0.0028460218468027345
Ireland,1,0.0167984521350263,0.9132624639058149,144,0.006342100443790381
Ireland,2,0.0657936118135306,3.8964892219790026,196,0.01988004705091328
Ireland,3,0.0333084857132399,2.2785152373849105,105,0.021700145117951528
Ireland,4,0.2883563745325771,18.873008654295127,165,0.11438187063209168
Ireland,5,0.0995930317312456,4.707676998791196,85,0.05538443527989642
Ireland,6,0.0343495642284805,2.03675942169472,123,0.01655901968857496
Italy,0,0.0065201698587117,0.40565060542552006,185,0.0021927059752730816
Italy,1,0.04604952920901,3.7680172933272074,206,0.018291346084112658
Italy,2,0.0333955273488847,2.9953042874870124,150,0.019968695249913414
Italy,3,0.0098521116008502,0.7053763671472841,99,0.007125013809568526
Italy,4,0.2278241582668216,21.303693693330388,235,0.09065401571629952
Italy,5,0.1228291635800412,8.574585579553961,124,0.06914988370608033
Luxembourg,0,0.0111664635555007,0.5044836222912904,145,0.0034791973951123476
Luxembourg,1,0.0093748475117443,0.4532112988773469,82,0.00552696705947984
Luxembourg,2,0.0866079741067572,7.102840762218907,170,0.04178141624834651
Luxembourg,3,0.0319200993760423,3.0595559930260565,133,0.023004180398692155
Luxembourg,4,0.0131413821593073,0.667080180242701,61,0.01093574065971641
Luxembourg,5,0.2488640505213463,26.635002356943147,283,0.09411661610227261
Luxembourg,6,0.0998330100467951,6.49363700952653,114,0.056961728153741495
Luxembourg,7,0.0218511257229785,0.2325189038658228,11,0.021138082169620254
Norway,0,0.0020150318586189,0.1646709392728209,174,0.0009463847084644879
Norway,1,0.0115254936634791,2.215157237481058,359,0.006170354421952808
Norway,2,0.2345754994274397,24.576308083868778,466,0.05273885854907463
Republic of Korea,0,0.0003332313877015,0.022385831756967626,143,0.00015654427802075263
Republic of Korea,1,0.001364451746779,0.1512623473950587,280,0.0005402226692680668
Republic of Korea,2,0.4544645055504129,35.06553964860334,472,0.0742913975606003
Republic of Korea,3,0.1701720532519917,12.634424577924948,104,0.12148485171081681
Romania,0,0.0016288757503091,0.09330299689335196,145,0.0006434689440920825
Romania,1,0.0380462972805234,3.691832050577257,254,0.014534771852666365
Romania,2,0.0254391022685616,1.7881176086630708,150,0.011920784057753805
Romania,3,0.0638883537028306,3.6551381937856187,159,0.022988290526953576
Romania,4,0.106047430042158,5.698116598259878,169,0.03371666626189277
Romania,5,0.0312691267682531,1.8197167653119253,122,0.014915711191081355
Spain,0,0.0105523130111426,0.527585696954879,161,0.0032769297947508012
Spain,1,0.0355226994151111,3.085315813035702,177,0.01743116278551244
Spain,2,0.0542417525185226,3.269845740847625,107,0.03055930598923014
Spain,3,0.0158590809012548,0.8963949459455458,66,0.013581741605235542
Spain,4,0.0432191084297638,2.7519424594485513,137,0.020087171236850738
Spain,5,0.2265972092068813,14.135917941438224,183,0.07724545323190286
Spain,6,0.0318301462096061,1.5765962860177347,55,0.028665387018504268
Spain,7,0.0331082857411791,1.9729926011140708,113,0.017460111514283814
The United Kingdom,0,0.0064165151616569,0.4338091910142088,192,0.002259422869865671
The United Kingdom,1,0.0673640170517628,6.26190131191264,292,0.021444867506550135
The United Kingdom,2,0.0503816606541168,2.390764768131194,97,0.024647059465270044
The United Kingdom,3,0.2116330831321816,19.172873730982058,207,0.09262257841054135
