,Date_reported,Indicator,SmoothedCases,cutDatesW
7992,2020-01-03,0.0,4.1025299715929614e-05,0
7993,2020-01-04,0.0,4.435326974224534e-05,0
7994,2020-01-05,0.0,4.79314984176209e-05,0
7995,2020-01-06,0.0,5.1776506027016344e-05,0
7996,2020-01-07,0.0,5.590564078651909e-05,0
7997,2020-01-08,0.0,6.0337090171009347e-05,0
7998,2020-01-09,0.0,6.508988843418179e-05,0
7999,2020-01-10,0.0,7.018391978306722e-05,0
8000,2020-01-11,0.0,7.563991663981701e-05,0
8001,2020-01-12,0.0,8.147945239677912e-05,0
8002,2020-01-13,0.0,8.772492804760158e-05,0
8003,2020-01-14,0.0,9.439955205810686e-05,0
8004,2020-01-15,0.0,0.00010152731282690386,0
8005,2020-01-16,0.0,0.00010913294307812151,0
8006,2020-01-17,0.0,0.00011724187552826792,0
8007,2020-01-18,0.0,0.0001258801891770834,0
8008,2020-01-19,0.0,0.00013507454558940905,0
8009,2020-01-20,0.0,0.00014485211456257563,0
8010,2020-01-21,0.0,0.00015524048861262045,0
8011,2020-01-22,0.0,0.00016626758576370346,0
8012,2020-01-23,0.0,0.0001779615401892537,0
8013,2020-01-24,0.0,0.0001903505803313458,0
8014,2020-01-25,0.0,0.00020346289421713682,0
8015,2020-01-26,0.0,0.00021732648179824176,0
8016,2020-01-27,0.0,0.00023196899426080854,0
8017,2020-01-28,0.0,0.0002474175603906362,0
8018,2020-01-29,0.0,0.00026369860022851114,0
8019,2020-01-30,0.0,0.00028083762641525195,0
8020,2020-01-31,0.0,0.000298859033802619,0
8021,2020-02-01,0.0,0.00031778587809378156,0
8022,2020-02-02,0.0,0.00033763964447354634,0
8023,2020-02-03,0.0,0.0003584400073917907,0
8024,2020-02-04,0.0,0.00038020458287087226,0
8025,2020-02-05,0.0,0.00040294867491620705,0
8026,2020-02-06,0.0,0.0004266850178154155,0
8027,2020-02-07,0.0,0.0004514235163118256,0
8028,2020-02-08,0.0,0.0004771709858288801,0
8029,2020-02-09,0.0,0.0005039308950991356,0
8030,2020-02-10,0.0,0.0005317031137110195,0
8031,2020-02-11,0.0,0.0005604836672242492,0
8032,2020-02-12,0.0,0.0005902645026169179,0
8033,2020-02-13,0.0,0.0006210332669098854,0
8034,2020-02-14,0.0,0.0006527731018639274,0
8035,2020-02-15,0.0,0.000685462457658961,0
8036,2020-02-16,0.0,0.0007190749284400915,0
8037,2020-02-17,0.0,0.0007535791125502162,0
8038,2020-02-18,0.0,0.0007889385001622007,0
8039,2020-02-19,0.0,0.000825111390874611,0
8040,2020-02-20,1.858792721562516e-05,0.0008620508436438854,0
8041,2020-02-21,0.0,0.0008997046611936056,0
8042,2020-02-22,0.0,0.0009380154107700621,0
8043,2020-02-23,0.0,0.000976920482805158,0
8044,2020-02-24,0.0,0.0010163521887062753,0
8045,2020-02-25,0.0,0.0010562378986221043,0
8046,2020-02-26,0.0,0.001096500219638365,0
8047,2020-02-27,0.0,0.0011370572144430826,0
8048,2020-02-28,5.576378164687548e-05,0.001177822660073354,0
8049,2020-02-29,3.717585443125032e-05,0.001218706345920406,0
8050,2020-03-01,0.0001672913449406,0.001259614409733472,0
8051,2020-03-02,0.0001115275632937,0.0013004497099319329,0
8052,2020-03-03,0.0001858792721562,0.001341112232115573,0
8053,2020-03-04,0.0002230551265875,0.0013814995272608262,0
8054,2020-03-05,0.0005762257436843,0.001421507178712407,0
8055,2020-03-06,0.0006134015981156,0.0014610292947300932,0
8056,2020-03-07,0.0006134015981156,0.0014999590230347379,0
8057,2020-03-08,0.000446110253175,0.0015381890835201488,0
8058,2020-03-09,0.0003531706170968,0.001575612315062037,0
8059,2020-03-10,0.0012082152690156,0.0016121222321649979,0
8060,2020-03-11,0.0045912180222594,0.0016476135870456346,0
8061,2020-03-12,0.0044796904589656,0.0016819829326562754,0
8062,2020-03-13,0.0032528872627344,0.0017151291821100364,0
8063,2020-03-14,0.0038291130064187,0.0017469541599744879,0
8064,2020-03-15,0.0027324253006968,0.0017773631409573408,0
8065,2020-03-16,0.0018587927215625,0.0018062653716121723,0
8066,2020-03-17,0.0018402047943468,0.0018335745708434805,0
8067,2020-03-18,0.0033458268988125,0.001859209405185859,0
8068,2020-03-19,0.00327147518995,0.0018830939350689504,0
8069,2020-03-20,0.0039592284969281,0.0019051580285546767,0
8070,2020-03-21,0.0044425146045344,0.0019253377393423346,0
8071,2020-03-22,0.0057250815824125,0.0019435756461763727,0
8072,2020-03-23,0.0032342993355187,0.001959821151156705,0
8073,2020-03-24,0.0027510132279125,0.001974030734837695,0
8074,2020-03-25,0.005502026455825,0.0019861681664048083,0
8075,2020-03-26,0.0058180212184906,0.0019962046676325774,0
8076,2020-03-27,0.0054276747469625,0.0020041190297491744,0
8077,2020-03-28,0.0055392023102562,0.0020098976827568438,0
8078,2020-03-29,0.0048700369304937,0.0020135347171789425,0
8079,2020-03-30,0.0030855959177937,0.002015031858618999,0
8080,2020-03-31,0.0019703202848562,0.002014398395920552,0
8081,2020-04-01,0.004907212784925,0.0020116510641045955,0
8082,2020-04-02,0.00386628886085,0.002006813883630339,0
8083,2020-04-03,0.0036804095886937,0.001999917957871209,0
8084,2020-04-04,0.0036804095886937,0.0019910012310183846,0
8085,2020-04-05,0.0030484200633625,0.00198010820891591,0
8086,2020-04-06,0.001635737594975,0.0019672896455921003,0
8087,2020-04-07,0.001338330759525,0.0019526021984796423,0
8088,2020-04-08,0.0029554804272844,0.0019361080555098844,0
8089,2020-04-09,0.0026023098101875,0.0019178745374241596,0
8090,2020-04-10,0.0019703202848562,0.0018979736787660666,0
8091,2020-04-11,0.0019145565032093,0.0018764817911029697,0
8092,2020-04-12,0.0012639790506625,0.0018534790120730564,0
8093,2020-04-13,0.0020446719937187,0.0018290488438664427,0
8094,2020-04-14,0.0014312703956031,0.001803277684726323,0
8095,2020-04-15,0.0014312703956031,0.0017762543570002186,0
8096,2020-04-16,0.0022677271203062,0.001748069635183846,0
8097,2020-04-17,0.0019145565032093,0.0017188157772830704,0
8098,2020-04-18,0.00148703417725,0.001688586062675103,0
8099,2020-04-19,0.0020074961392875,0.001657474339481189,0
8100,2020-04-20,0.0009108084335656,0.0016255745842723322,0
8101,2020-04-21,0.0006691653797625,0.001592980476719932,0
8102,2020-04-22,0.0015613858861125,0.0015597849915777707,0
8103,2020-04-23,0.0014498583228187,0.0015260800101435945,0
8104,2020-04-24,0.0014312703956031,0.0014919559531007339,0
8105,2020-04-25,0.0012825669778781,0.0014575014363859616,0
8106,2020-04-26,0.0009851601424281,0.0014228029514721,0
8107,2020-04-27,0.0004646981803906,0.001387944571195691,0
8108,2020-04-28,0.0006877533069781,0.0013530076820041878,0
8109,2020-04-29,0.0013197428323093,0.0013180707432461833,0
